transaction_id,expected_amount,settled_amount,settlement_status,settlement_date
TX00674,443.28,443.28,Matched,2026-03-19
TX00677,354.55,354.55,Matched,2026-01-24
TX00678,1191.73,1191.73,Matched,2026-06-05
TX00679,657.86,657.86,Matched,2026-03-19
TX00681,248.13,248.13,Matched,2026-04-14
TX00683,663.23,663.23,Matched,2026-06-20
TX00684,383.22,383.22,Matched,2026-02-12
TX00685,68.97,37.35,Mismatch,2026-01-08
TX00686,328.53,328.53,Matched,2026-05-17
TX00687,240.84,240.84,Matched,2026-04-25
TX00688,1976.98,1930.57,Mismatch,2026-06-13
TX00689,121.83,0.0,Unsettled,2026-03-27
TX00690,152.15,152.15,Matched,2026-01-05
TX00691,1330.72,1330.72,Matched,2026-01-06
TX00692,1641.31,1641.31,Matched,2026-03-24
TX00693,275.0,275.0,Matched,2026-02-19
TX00694,302.7,269.94,Mismatch,2026-06-20
TX00695,874.63,874.63,Matched,2026-01-24
TX00697,106.48,106.48,Matched,2026-02-10
TX00698,408.04,408.04,Matched,2026-01-23
TX00699,1934.12,1934.12,Matched,2026-02-20
TX00700,357.68,357.68,Matched,2026-01-31
TX00701,564.42,564.42,Matched,2026-03-18
TX00702,1357.94,1357.94,Matched,2026-03-05
TX00703,3105.26,3105.26,Matched,2026-04-09
TX00704,317.25,317.25,Matched,2026-04-10
TX00705,510.65,510.65,Matched,2026-01-03
TX00706,2437.55,2437.55,Matched,2026-01-27
TX00707,142.04,142.04,Matched,2026-02-03
TX00708,1240.72,1240.72,Matched,2026-02-08
TX00710,565.16,565.16,Matched,2026-03-02
TX00711,421.48,421.48,Matched,2026-04-12
TX00712,229.45,229.45,Matched,2026-02-27
TX00713,224.61,224.61,Matched,2026-03-05
TX00714,655.21,655.21,Matched,2026-03-28
TX00715,1207.38,1207.38,Matched,2026-04-14
TX00716,463.93,463.93,Matched,2026-03-03
TX00717,549.82,549.82,Matched,2026-02-12
TX00718,841.76,841.76,Matched,2026-03-17
TX00719,226.81,226.81,Matched,2026-01-08
TX00720,971.4,971.4,Matched,2026-04-02
TX00721,1039.44,1039.44,Matched,2026-06-22
TX00722,4736.64,4736.64,Matched,2026-03-17
TX00723,376.27,376.27,Matched,2026-01-21
TX00724,350.95,350.95,Matched,2026-05-09
TX00726,1039.23,1039.23,Matched,2026-02-09
TX00727,328.71,328.71,Matched,2026-01-30
TX00728,367.72,367.72,Matched,2026-06-12
TX00729,820.54,820.54,Matched,2026-06-28
TX00730,256.35,256.35,Matched,2026-04-17
TX00731,365.42,365.42,Matched,2026-04-24
TX00732,559.0,559.0,Matched,2026-04-30
TX00733,1207.79,1207.79,Matched,2026-04-22
TX00734,309.85,309.85,Matched,2026-04-12
TX00735,108.2,108.2,Matched,2026-07-01
TX00736,101.58,101.58,Matched,2026-05-15
TX00737,177.59,177.59,Matched,2026-01-18
TX00738,169.66,169.66,Matched,2026-03-16
TX00739,454.22,454.22,Matched,2026-06-29
TX00740,188.57,188.57,Matched,2026-03-18
TX00741,285.05,285.05,Matched,2026-02-10
TX00743,356.23,356.23,Matched,2026-04-26
TX00744,1594.2,1594.2,Matched,2026-04-13
TX00745,909.28,909.28,Matched,2026-03-20
TX00746,525.16,525.16,Matched,2026-01-27
TX00747,350.07,350.07,Matched,2026-03-13
TX00749,684.43,684.43,Matched,2026-06-22
TX00750,851.11,851.11,Matched,2026-02-26
